date,per_usd
1974-06-28,0.828947
1974-07-01,0.828322
1974-07-02,0.828837
1974-07-03,0.826228
1974-07-04,0.830006
1974-07-05,0.828377
1974-07-08,0.827794
1974-07-09,0.82991
1974-07-10,0.830344
1974-07-11,0.831622
1974-07-12,0.829428
1974-07-15,0.828597
1974-07-16,0.826446
1974-07-17,0.826071
1974-07-18,0.826057
1974-07-19,0.825832
1974-07-22,0.82558
1974-07-23,0.824239
1974-07-24,0.81825
1974-07-25,0.818565
1974-07-26,0.822037
1974-07-29,0.823798
1974-07-30,0.824878
1974-07-31,0.829105
1974-08-01,0.827465
1974-08-02,0.826945
1974-08-05,0.826692
1974-08-06,0.824334
1974-08-07,0.828301
1974-08-08,0.834529
1974-08-09,0.832148
1974-08-12,0.834474
1974-08-13,0.838975
1974-08-14,0.839194
1974-08-15,0.839194
1974-08-16,0.842602
1974-08-19,0.848155
1974-08-20,0.848702
1974-08-21,0.843989
1974-08-22,0.847616
1974-08-23,0.848385
1974-08-26,0.845788
1974-08-27,0.849545
1974-08-28,0.851782
1974-08-29,0.84943
1974-08-30,0.851506
1974-09-02,0.854241
1974-09-03,0.851883
1974-09-04,0.848688
1974-09-05,0.854526
1974-09-06,0.853089
1974-09-09,0.853709
1974-09-10,0.851491
1974-09-11,0.852086
1974-09-12,0.853308
1974-09-13,0.852762
1974-09-16,0.852842
1974-09-17,0.849907
1974-09-18,0.848997
1974-09-19,0.849798
1974-09-20,0.851209
1974-09-23,0.851172
1974-09-24,0.848817
1974-09-25,0.850065
1974-09-26,0.849279
1974-09-27,0.848061
1974-09-30,0.84563
1974-10-01,0.844851
1974-10-02,0.846625
1974-10-03,0.847005
1974-10-04,0.843192
1974-10-07,0.841029
1974-10-08,0.841871
1974-10-09,0.838392
1974-10-10,0.839483
1974-10-11,0.841227
1974-10-14,0.839948
1974-10-15,0.839468
1974-10-16,0.838581
1974-10-17,0.835904
1974-10-18,0.836764
1974-10-21,0.838532
1974-10-22,0.838012
1974-10-23,0.835038
1974-10-24,0.834773
1974-10-25,0.833389
1974-10-28,0.834752
1974-10-29,0.833563
1974-10-30,0.833757
1974-10-31,0.834244
1974-11-04,0.830482
1974-11-05,0.828631
1974-11-06,0.828837
1974-11-07,0.828397
1974-11-08,0.831421
1974-11-11,0.831421
1974-11-12,0.831954
1974-11-13,0.835227
1974-11-14,0.830158
1974-11-15,0.824436
1974-11-18,0.820526
1974-11-19,0.819424
1974-11-20,0.822497
1974-11-21,0.829181
1974-11-22,0.821241
1974-11-25,0.822213
1974-11-26,0.817815
1974-11-27,0.818076
1974-11-28,0.818458
1974-11-29,0.818538
1974-12-02,0.822389
1974-12-03,0.824137
