date,adj,close
1968-04-01,37.7,37.7
1968-04-02,37.3,37.3
1968-04-03,37.6,37.6
1968-04-04,36.95,36.95
1968-04-05,37.0,37.0
1968-04-08,37.05,37.05
1968-04-09,37.5,37.5
1968-04-10,37.7,37.7
1968-04-11,38.0,38.0
1968-04-16,38.0,38.0
1968-04-17,37.8,37.8
1968-04-18,37.55,37.55
1968-04-19,37.65,37.65
1968-04-22,38.0,38.0
1968-04-23,38.4,38.4
1968-04-24,38.25,38.25
1968-04-25,38.3,38.3
1968-04-26,38.65,38.65
1968-04-29,38.75,38.75
1968-04-30,39.1,39.1
1968-05-01,39.2,39.2
1968-05-02,39.45,39.45
1968-05-03,39.1,39.1
1968-05-06,39.75,39.75
1968-05-07,39.3,39.3
1968-05-08,39.75,39.75
1968-05-09,39.7,39.7
1968-05-10,39.6,39.6
1968-05-13,39.5,39.5
1968-05-14,39.8,39.8
1968-05-15,40.25,40.25
1968-05-16,41.25,41.25
1968-05-17,41.5,41.5
1968-05-20,42.3,42.3
1968-05-21,42.4,42.4
1968-05-22,41.55,41.55
1968-05-23,41.4,41.4
1968-05-24,41.75,41.75
1968-05-27,41.5,41.5
1968-05-28,41.5,41.5
1968-05-29,41.6,41.6
1968-05-30,41.95,41.95
1968-05-31,41.95,41.95
1968-06-04,41.15,41.15
1968-06-05,41.2,41.2
1968-06-06,41.2,41.2
1968-06-07,41.25,41.25
1968-06-10,41.3,41.3
1968-06-11,41.55,41.55
1968-06-12,41.9,41.9
1968-06-13,41.3,41.3
1968-06-14,41.0,41.0
1968-06-17,40.7,40.7
1968-06-18,41.1,41.1
1968-06-19,41.4,41.4
1968-06-20,41.1,41.1
1968-06-21,41.05,41.05
1968-06-24,40.9,40.9
1968-06-25,40.95,40.95
1968-06-26,40.85,40.85
1968-06-27,40.9,40.9
1968-06-28,40.9,40.9
1968-07-01,40.8,40.8
1968-07-02,40.9,40.9
1968-07-03,41.05,41.05
1968-07-04,41.15,41.15
1968-07-05,41.0,41.0
1968-07-08,40.85,40.85
1968-07-09,39.8,39.8
1968-07-10,40.1,40.1
1968-07-11,39.1,39.1
1968-07-12,39.3,39.3
1968-07-15,39.2,39.2
1968-07-16,38.5,38.5
1968-07-17,37.75,37.75
1968-07-18,38.0,38.0
1968-07-19,38.7,38.7
1968-07-22,38.6,38.6
1968-07-23,39.0,39.0
1968-07-24,39.2,39.2
1968-07-25,38.9,38.9
1968-07-26,38.9,38.9
1968-07-29,39.1,39.1
1968-07-30,39.0,39.0
1968-07-31,38.85,38.85
1968-08-01,38.9,38.9
1968-08-02,38.85,38.85
1968-08-05,38.95,38.95
1968-08-06,38.7,38.7
1968-08-07,38.7,38.7
1968-08-08,38.45,38.45
1968-08-09,38.55,38.55
1968-08-12,38.6,38.6
1968-08-13,38.9,38.9
1968-08-14,38.95,38.95
1968-08-15,39.15,39.15
1968-08-16,39.15,39.15
1968-08-19,39.15,39.15
1968-08-20,39.55,39.55
1968-08-21,40.0,40.0
1968-08-22,39.75,39.75
1968-08-23,39.5,39.5
1968-08-26,39.5,39.5
1968-08-27,39.65,39.65
1968-08-28,39.6,39.6
1968-08-29,39.85,39.85
1968-08-30,39.8,39.8
1968-09-03,39.95,39.95
1968-09-04,39.9,39.9
1968-09-05,40.1,40.1
1968-09-06,39.9,39.9
1968-09-09,40.05,40.05
1968-09-10,40.03,40.03
1968-09-11,40.1,40.1
1968-09-12,40.1,40.1
1968-09-13,40.15,40.15
1968-09-16,40.3,40.3
1968-09-17,40.3,40.3
1968-09-18,40.5,40.5
1968-09-19,40.45,40.45
1968-09-20,40.4,40.4
1968-09-23,40.4,40.4
1968-09-24,40.45,40.45
1968-09-25,40.45,40.45
1968-09-26,40.45,40.45
1968-09-27,40.13,40.13
1968-09-30,39.6,39.6
1968-10-01,39.45,39.45
1968-10-02,38.9,38.9
1968-10-03,39.18,39.18
1968-10-04,39.05,39.05
1968-10-07,39.78,39.78
1968-10-08,39.6,39.6
1968-10-09,38.9,38.9
1968-10-10,39.05,39.05
1968-10-11,39.28,39.28
1968-10-14,39.3,39.3
1968-10-15,39.1,39.1
1968-10-16,38.95,38.95
1968-10-17,39.28,39.28
1968-10-18,39.1,39.1
1968-10-21,39.0,39.0
1968-10-22,39.05,39.05
1968-10-23,39.2,39.2
1968-10-24,39.2,39.2
1968-10-25,39.25,39.25
1968-10-28,39.48,39.48
1968-10-29,39.5,39.5
1968-10-30,39.2,39.2
1968-10-31,39.0,39.0
1968-11-01,39.18,39.18
1968-11-04,39.2,39.2
1968-11-05,39.43,39.43
1968-11-06,39.53,39.53
1968-11-07,39.3,39.3
1968-11-08,39.4,39.4
1968-11-11,39.55,39.55
1968-11-12,39.68,39.68
1968-11-13,39.88,39.88
1968-11-14,39.9,39.9
1968-11-15,40.0,40.0
1968-11-18,39.95,39.95
1968-11-19,40.23,40.23
1968-11-20,40.55,40.55
1968-11-21,40.25,40.25
1968-11-22,40.0,40.0
1968-11-25,40.1,40.1
1968-11-26,39.7,39.7
1968-11-27,39.9,39.9
1968-11-28,39.8,39.8
1968-11-29,39.85,39.85
1968-12-02,40.15,40.15
1968-12-03,40.28,40.28
1968-12-04,40.5,40.5
1968-12-05,40.35,40.35
1968-12-06,40.5,40.5
1968-12-09,40.6,40.6
1968-12-10,40.63,40.63
1968-12-11,40.95,40.95
1968-12-12,40.98,40.98
1968-12-13,41.0,41.0
1968-12-16,40.97,40.97
1968-12-17,41.23,41.23
1968-12-18,41.9,41.9
1968-12-19,41.73,41.73
1968-12-20,41.7,41.7
1968-12-23,41.6,41.6
1968-12-27,41.75,41.75
1968-12-30,41.9,41.9
1968-12-31,41.9,41.9
1969-01-02,41.8,41.8
1969-01-03,42.05,42.05
1969-01-06,42.05,42.05
1969-01-07,42.1,42.1
1969-01-08,42.45,42.45
1969-01-09,42.5,42.5
1969-01-10,42.3,42.3
1969-01-13,42.1,42.1
1969-01-14,42.5,42.5
1969-01-15,42.7,42.7
1969-01-16,42.35,42.35
1969-01-17,42.2,42.2
1969-01-20,42.2,42.2
1969-01-21,42.48,42.48
1969-01-22,42.53,42.53
1969-01-23,42.05,42.05
1969-01-24,42.1,42.1
1969-01-27,42.2,42.2
1969-01-28,42.43,42.43
1969-01-29,42.5,42.5
1969-01-30,42.55,42.55
1969-01-31,42.54,42.54
1969-02-03,42.43,42.43
1969-02-04,42.5,42.5
1969-02-05,42.73,42.73
1969-02-06,42.63,42.63
1969-02-07,42.53,42.53
1969-02-10,42.45,42.45
1969-02-11,42.55,42.55
1969-02-12,42.5,42.5
1969-02-13,42.58,42.58
1969-02-14,42.5,42.5
1969-02-17,42.65,42.65
1969-02-18,42.58,42.58
1969-02-19,42.65,42.65
1969-02-20,42.63,42.63
1969-02-21,42.63,42.63
1969-02-24,42.7,42.7
1969-02-25,42.65,42.65
1969-02-26,42.7,42.7
1969-02-27,42.8,42.8
1969-02-28,42.7,42.7
1969-03-03,42.7,42.7
1969-03-04,42.85,42.85
1969-03-05,43.0,43.0
1969-03-06,43.25,43.25
1969-03-07,43.5,43.5
1969-03-10,43.83,43.83
