depth,months,shape,bond,dd,dd_bh,ret,ret_bh,w,гистерезис 2%,подтверждение 2 мес,стоп −15%,стоп −20%,depth_real
-0.2,1,front,rally,-24.67387041054947,-50.79937320597862,34.44028263514278,5.681048077553386,0.0003713386407178842,-38.11762933855936,-13.45949064095815,-18.86385226394952,-21.687284768978,-0.5
-0.2,1,front,flat,-28.015884856503703,-30.53786727851549,-25.786481014486228,-10.818215516046592,0.004579843235520574,-36.13081015955808,-21.94061861416351,-22.23498694653291,-23.9673215195498,-0.3
-0.2,1,front,fall,-37.532590960129234,-44.383051916688224,-27.18696290756684,-30.703641843580808,0.00035677634108188886,-30.346664495013933,-10.337143482617584,-24.327731694961784,-26.66459975950263,-0.4
-0.2,1,linear,rally,-22.20249284532795,-36.44689026036492,57.15890490689923,57.49202926197548,0.00259937048502519,-22.316596798019805,-22.86739554415014,-17.89082489639169,-20.852180606491626,-0.4
-0.2,1,linear,flat,-27.787902713202183,-23.888802431736345,48.99176301556714,89.81604243486532,0.025054436523730194,-27.710330197219367,-26.291929705253203,-20.948402362910613,-23.394444568899157,-0.2
-0.2,1,linear,fall,-30.305658868330465,-41.49181052325628,-25.095966568101403,-26.48458988860416,0.0010703290232456665,-26.580509318541456,-25.4536513773731,-23.30012160009304,-26.45568066058857,-0.4
-0.2,1,back,rally,-23.08614280847665,-41.49847398666435,24.652253333744834,21.480587877570635,0.0032925359476985738,-22.90556126713604,-34.20335918772511,-19.66265805838888,-21.514477711302447,-0.4
-0.2,1,back,flat,-35.52892305272234,-53.37856053150832,-27.89742167563555,-34.412406873256195,0.003071188993231443,-41.79337617797382,-28.728294730435262,-25.23999323080014,-27.69848016072712,-0.5
-0.2,1,back,fall,-21.524116082750457,-29.893998862779736,64.44193646952667,69.91349262029148,0.003292535947698574,-21.60053286859155,-21.60274246860109,-18.177005580427817,-20.96451028422378,-0.3
-0.2,1,saw,rally,-21.43156508404396,-36.95995021209784,45.39719770015331,10.572255287525325,0.003985701410371958,-21.36193631899563,-33.16770452042255,-21.513515500007763,-20.979631755521638,-0.4
-0.2,1,saw,flat,-20.95586261389737,-40.610968383845616,65.59800295199008,6.050296887474005,0.008674761893162498,-11.690630232654089,-11.08498775019795,-18.119293256593828,-20.68553317514408,-0.4
-0.2,1,saw,fall,-18.766294564072727,-20.579938029933952,6.270548190900316,24.128921057067565,0.007268043748325336,-24.15869739640495,-16.813306701943386,-18.043334192128047,-19.04045331201627,-0.2
-0.2,3,front,rally,-24.61563657655397,-39.234979160617776,34.037290075081785,20.148088560938216,0.00086645682834173,-26.5337337440971,-18.09820998660349,-17.209771026835675,-21.17644016024327,-0.4
-0.2,3,front,flat,-27.079815606879343,-40.70392313760642,25.10080222863236,-15.948645019745545,0.0018858178028614123,-26.98802794554348,-26.89322397179812,-21.283231176787687,-24.798002132131323,-0.4
-0.2,3,front,fall,-29.181117289777468,-40.01052930097536,32.33067896501007,32.29170850027008,0.00035677634108188886,-32.66720430936117,-31.65314245918117,-21.91604479130127,-24.97356870207728,-0.4
-0.2,3,linear,rally,-23.3955380480244,-32.12283605212256,15.536065273679078,30.97045638205018,0.006312756892204033,-17.86184333151689,-19.1777558722817,-16.527580937943554,-20.02481756283143,-0.3
-0.2,3,linear,flat,-23.35979730789758,-27.503573632889267,6.074763850353504,29.014050043987496,0.013739529706561721,-32.94024250093289,-23.19291622677433,-19.24067121331843,-22.41596242010948,-0.3
-0.2,3,linear,fall,-17.847775698403566,-22.96504920376369,28.354118559438124,30.790284655434764,0.004740028531516523,-17.73542541959077,-17.836251811854776,-16.79708403479786,-18.10143791424193,-0.2
-0.2,3,back,rally,-21.01746243944835,-23.677990192738907,60.70530129554514,46.7300281703545,0.014581230625522256,-25.21646902049821,-22.978047301726445,-18.693413404563163,-20.835341683729013,-0.2
-0.2,3,back,flat,-24.09630554891112,-29.01129423271776,56.74587145372887,90.30429343016336,0.017403404294978178,-18.23171250173852,-18.31913841966661,-20.067723312440567,-22.31609518961928,-0.3
-0.2,3,back,fall,-15.215646652053216,-63.58148299785032,77.42224623295029,-12.087163022464454,0.0009683929257936983,-15.324234663564727,-11.51529141955132,-15.479434939033986,-15.479434939033986,-0.6
-0.2,3,saw,rally,-33.179380328837404,-37.02208262044109,5.905425520074026,13.906090463826716,0.003985701410371958,-21.210406609454544,-23.79637816991136,-24.729497806427524,-24.22634548955469,-0.4
-0.2,3,saw,flat,-38.09298860895597,-34.39094564201371,105.37384637338968,132.18976500031408,0.021067278883394637,-38.51606326226757,-38.2565843147651,-26.6800860652455,-29.3556356322095,-0.3
-0.2,3,saw,fall,-33.45903709666251,-34.83736632590181,23.1780409242794,42.83479990454413,0.003985701410371959,-16.56837865566313,-15.338940346564367,-23.135136540797475,-25.19401364162773,-0.3
-0.2,6,front,rally,-39.26885437740352,-38.1056250822074,10.258352553231976,6.771344585524797,0.0007089192231886881,-20.50150002620213,-19.61991163748037,-27.25083867410143,-29.9373219363706,-0.4
-0.2,6,front,flat,-24.257727242646745,-49.09605301831091,85.78455332081589,4.852307191474137,0.0006612607880163395,-23.80819923964697,-26.813668966743244,-19.68773365613703,-23.74144199164285,-0.5
-0.2,6,front,fall,-22.758046898460893,-42.10014967791875,34.86821741942574,34.56930584375224,0.00029190791543063635,-22.671454001459143,-24.88344972373112,-19.499083637257208,-21.508441041067396,-0.4
-0.2,6,linear,rally,-22.8020511943962,-20.66692552637164,109.49109316100412,140.64230345328394,0.009418498250935428,-22.2792686201551,-19.45128103545718,-19.064815796084822,-21.757782676559746,-0.2
-0.2,6,linear,flat,-41.888249633214,-43.847869074586754,15.740918926257953,2.514660487182918,0.0046288255161143765,-23.65389995121282,-16.22031286312956,-27.26560143043727,-29.761162839910405,-0.4
-0.2,6,linear,fall,-32.95478872700544,-29.888588671718384,19.02907038115007,97.79429981135132,0.002126757669566065,-31.93099627204394,-30.78385183410195,-23.55960819037057,-26.09227544250968,-0.3
-0.2,6,back,rally,-28.74168890229241,-49.050239156937614,4.1863802826743735,-29.02166279943373,0.0011545255920501494,-21.180785911215,-25.708520648283585,-19.054035268318724,-22.678287985655757,-0.5
-0.2,6,back,flat,-31.202555143269084,-19.07068751591323,47.99344177250391,74.02603404024859,0.025965506942774927,-29.114544971045262,-25.23961718656925,-23.554639907916595,-25.26997647101422,-0.2
-0.2,6,back,fall,-25.397679241531414,-41.8696945059374,-12.301777370464572,-14.48399554469213,0.0011092500786364181,-26.012088587016702,-26.113685692773625,-20.414389775542364,-23.311419412519285,-0.4
-0.2,6,saw,rally,-20.753493909862986,-60.62521917731913,35.75111358486767,-29.84083736920453,0.0023293060190485468,-20.996067675754425,-25.47768604466296,-18.651536170440277,-20.250085913479342,-0.6
-0.2,6,saw,flat,-40.26123508637917,-35.0212481048714,-5.466098078178305,62.59264660120783,0.007097532458042044,-35.234785666138634,-37.032226902376685,-28.75949492922323,-30.44689970467241,-0.4
-0.2,6,saw,fall,-38.872037796390536,-46.47084116873802,20.25771983881284,30.463553561044733,0.0005754756047061117,-38.596139141632094,-27.72792423150717,-23.351293159776887,-28.044658064914827,-0.5
-0.2,12,front,rally,-24.38833617746011,-58.90282331595797,15.788039254621488,-29.40497968322514,0.0010690051778242124,-25.998914585635912,-24.17800667641936,-18.27115707350513,-21.25026493231166,-0.6
-0.2,12,front,flat,-27.86049002001343,-43.249178133481095,20.793680815920744,8.960945187346248,0.0032573216594878945,-29.115669382049106,-35.30441738104597,-20.01147899788776,-23.801721188228697,-0.4
-0.2,12,front,fall,-20.40564263764133,-18.728262951120257,93.73460271832042,147.46424180111876,0.002729107336327695,-28.04081062197994,-24.066729773917928,-16.66103342927372,-20.432974120431517,-0.2
-0.2,12,linear,rally,-24.184466172470632,-71.42518468332817,7.316771198731686,-54.34185065799802,0.0032070155334726373,-14.368939889830434,-19.97790751383128,-19.08588353915851,-22.34604858090388,-0.6
-0.2,12,linear,flat,-17.293318708812333,-47.66520899980945,78.17526084712576,-2.839734588443321,0.00418798499077015,-26.76833318768017,-17.303932264949594,-15.893817108609056,-17.46226268067571,-0.5
-0.2,12,linear,fall,-22.927230954854306,-49.7783945669583,28.292118534748,10.124793672461706,0.0007923214847402985,-30.78134348138109,-25.5924585124659,-17.334412194544136,-21.47624833857969,-0.5
-0.2,12,back,rally,-35.87073566499049,-43.651549881395205,2.4181215947914447,-8.336995750266663,0.005687107546024811,-48.45083989620892,-26.576497427293887,-22.081548137112826,-24.93984932739068,-0.4
-0.2,12,back,flat,-26.39182645947525,-50.66390437229027,7.891853864785681,0.8956419246562319,0.005304780988308857,-26.396980577396768,-31.96595515485825,-22.74022595164833,-23.42181944612941,-0.5
-0.2,12,back,fall,-23.55320726498225,-45.77393170826062,57.074886479884654,28.288691059277586,0.0010036072140043783,-22.458872882535942,-29.021855655386307,-19.46572319544866,-21.114372288632133,-0.5
-0.2,12,saw,rally,-35.50913910010003,-36.0263338909751,31.760766935075367,68.35429505667032,0.006884393345187928,-31.337774335205225,-23.240794768706703,-23.22438978232595,-25.841856772638,-0.4
-0.2,12,saw,flat,-27.224794641907646,-62.97696657540223,27.90320111738372,-25.56591972984632,0.01070262830974594,-23.80825790555371,-27.057675792888435,-19.25693302702688,-22.331885521547868,-0.6
-0.2,12,saw,fall,-29.712020581188504,-63.46152880194123,15.728336171521828,-32.295252181599096,0.0020248215721140965,-29.324105847910783,-29.595740506626367,-20.42805372121289,-22.867291200682693,-0.6
-0.2,24,front,rally,-35.65193075051839,-49.39905273732194,15.780020701467269,7.765315876505041,0.0003038225242237235,-31.57461914190538,-31.824261117258256,-23.701848473104693,-26.482259932573797,-0.5
-0.2,24,front,flat,-31.568801523783,-57.81283287379138,15.580591952863276,-4.006594778962603,0.0011021013133605657,-31.92773104800332,-32.318912706080624,-22.07715794999576,-25.641204606856537,-0.6
-0.2,24,front,fall,-21.065881540346588,-56.69192688028413,72.22357841814262,-10.965675864969294,0.00020850565387902595,-31.104952152783504,-26.699413320383425,-17.455199138417722,-20.37259862918872,-0.6
-0.2,24,linear,rally,-23.809289265955115,-44.02867733797918,13.860993335111216,-6.199248215841191,0.002126757669566065,-32.82194083688814,-24.50951348729864,-20.22469964495692,-22.35349641025384,-0.4
-0.2,24,linear,flat,-22.14864988844747,-51.950642684459815,36.28375543471438,4.186311990328173,0.0019837823640490183,-29.235272513261634,-22.63280322153378,-20.079701563225385,-22.06682891491996,-0.5
-0.2,24,linear,fall,-31.228267983018743,-74.38738359214024,79.09409834310716,-8.13894152634641,0.0006255169616370778,-29.34201055157328,-29.229973719519155,-24.32793999557221,-25.723950604771296,-0.6
-0.2,24,back,rally,-25.684625800596848,-34.373391161731405,90.05215225208923,236.12722370315228,0.00654231168828418,-29.721471319893368,-35.36278751145151,-20.900302012823303,-26.32309281277557,-0.3
-0.2,24,back,flat,-26.380618947332124,-46.30829468782708,78.75611147196906,135.48892417016165,0.00251279099446209,-42.14418285424544,-34.163179245273,-21.905799888295157,-20.99702756412245,-0.5
-0.2,24,back,fall,-37.88867377908846,-76.10587579758248,-0.4682938570559236,-58.078618704550266,0.0007923214847402985,-44.15469191811201,-22.83157379976086,-25.245420995019074,-27.89511036706469,-0.6
-0.2,24,saw,rally,-49.52146355883285,-45.91305516420249,-19.62214937099917,-7.224716816116617,0.0013975836114291282,-52.06898170438704,-24.66101455924633,-31.376167848101662,-34.48788631288087,-0.5
-0.2,24,saw,flat,-42.48783014823599,-53.16238477060704,86.01822581127728,85.54261172325725,0.003041799624875162,-45.52781259285027,-28.642767309098648,-30.763594375129667,-30.75836203603344,-0.5
-0.2,24,saw,fall,-46.807332534138204,-42.85392909508055,-23.673705232765872,11.562626722361212,0.0013427764109809274,-48.398411177968285,-33.05891564364287,-29.890322010120386,-33.818900070012134,-0.4
