,nav
1963-03-01,9990022.829026677
1963-03-04,10097506.477107782
1963-03-05,10101824.333786892
1963-03-06,10128239.330819653
1963-03-07,10184749.948617509
1963-03-08,10196818.29789286
1963-03-11,10228039.457342843
1963-03-12,10254028.886016278
1963-03-13,10292394.170982014
1963-03-14,10245496.123426097
1963-03-15,10297461.821363423
1963-03-18,10250415.989992933
1963-03-19,10229287.005381964
1963-03-20,10304941.307394626
1963-03-21,10290057.402110374
1963-03-22,10335573.719285488
1963-03-25,10333293.256708305
1963-03-26,10347067.123480948
1963-03-27,10391531.527283795
1963-03-28,10376644.022712054
1963-03-29,10384148.845153034
1963-04-01,10430815.85549428
1963-04-02,10421666.337279657
1963-04-03,10503617.227125164
1963-04-04,10589298.264017792
1963-04-05,10657178.266091667
1963-04-08,10680522.890059741
1963-04-09,10661754.227857763
1963-04-10,10620369.736921666
1963-04-11,10696060.126058957
1963-04-15,10741641.946875948
1963-04-16,10758757.234784016
1963-04-17,10725126.820256507
1963-04-18,10729750.203693135
1963-04-19,10800745.07924519
1963-04-22,10814531.493328305
1963-04-23,10851034.173737008
1963-04-24,10890131.047566595
1963-04-25,10905888.859484453
1963-04-26,10897269.098063234
1963-04-29,10892532.61361502
1963-04-30,10916580.502891576
1963-05-01,10952555.779322527
1963-05-02,10984378.177045153
1963-05-03,10972123.417907776
1963-05-06,10906173.922105169
1963-05-07,10901697.09233663
1963-05-08,10982263.5410266
1963-05-09,11027048.063369408
1963-05-10,11054195.32278721
1963-05-13,11059807.198088598
1963-05-14,11027327.88779745
1963-05-15,11062254.649141377
1963-05-16,11043771.229191007
1963-05-17,11033080.956157234
1963-05-20,10975935.745702224
1963-05-21,11013452.689200273
1963-05-22,11014140.151705924
1963-05-23,10999792.078587927
1963-05-24,10970418.953259697
1963-05-27,10947839.208371276
1963-05-28,10961331.797854053
1963-05-29,11011779.585103363
1963-05-31,11086742.55469275
1963-06-03,11054738.534539107
1963-06-04,11056950.445707403
1963-06-05,11031171.415197844
1963-06-06,11030658.346814917
1963-06-07,11004890.029123545
1963-06-10,10934854.137782088
1963-06-11,10958343.1617114
1963-06-12,11009151.53113753
1963-06-13,10981877.629695963
1963-06-14,10985659.14210471
1963-06-17,10933242.191570476
1963-06-18,10944796.048421765
1963-06-19,10956349.515892472
1963-06-20,10944609.339569656
1963-06-21,10982247.498616712
1963-06-24,10977392.76508054
1963-06-25,10952941.839271557
1963-06-26,10854944.510168565
1963-06-27,10802325.703799067
1963-06-28,10849820.489694284
1963-07-01,10764233.586090779
1963-07-02,10841062.729063058
1963-07-03,10916623.992015375
1963-07-05,10953387.279791582
1963-07-08,10872558.747658318
1963-07-09,10928657.392757917
1963-07-10,10914453.763519758
1963-07-11,10885922.450119114
1963-07-12,10876426.491215833
1963-07-15,10819304.883223884
1963-07-16,10810457.388349976
1963-07-17,10769430.560428448
1963-07-18,10709941.967927594
1963-07-19,10688596.035295404
1963-07-22,10621242.25239903
1963-07-23,10623294.755762983
1963-07-24,10690196.085260788
1963-07-25,10687588.742446948
1963-07-26,10749105.20004321
1963-07-29,10772197.80865665
1963-07-30,10853005.058932727
1963-07-31,10836322.260644915
1963-08-01,10836098.353097845
1963-08-02,10872498.867321024
1963-08-05,10939295.870287044
1963-08-06,11002408.454669273
1963-08-07,10961136.054254804
1963-08-08,10979801.685320653
1963-08-09,11052044.20569791
1963-08-12,11063163.159635048
1963-08-13,11085945.523676911
1963-08-14,11130088.5816571
1963-08-15,11187797.01112507
1963-08-16,11214288.427395506
1963-08-19,11218325.088377487
1963-08-20,11209374.322175508
1963-08-21,11186597.723113084
1963-08-22,11226065.885199375
1963-08-23,11260841.694502514
1963-08-26,11287125.308972638
1963-08-27,11224282.243587533
1963-08-28,11305851.324922783
1963-08-29,11315892.797573915
1963-08-30,11360297.601868114
1963-09-03,11380273.429338364
1963-09-04,11368457.448827336
1963-09-05,11388755.915197635
1963-09-06,11355092.481334306
1963-09-09,11317419.545501867
1963-09-10,11381882.36387345
1963-09-11,11415105.199433608
1963-09-12,11407713.534475641
1963-09-13,11411249.823143324
1963-09-16,11398535.855278635
1963-09-17,11406750.572519222
1963-09-18,11366279.798981031
1963-09-19,11432278.58544784
1963-09-20,11453663.312631834
1963-09-23,11403716.043404076
1963-09-24,11449048.151727442
1963-09-25,11385620.122532163
1963-09-26,11289190.736628473
1963-09-27,11277314.076778594
1963-09-30,11213236.912857594
1963-10-01,11295461.712165099
1963-10-02,11308945.077364106
1963-10-03,11392731.132240277
1963-10-04,11387726.995392572
1963-10-07,11367758.568486333
1963-10-08,11344008.734611169
1963-10-09,11221835.8862189
1963-10-10,11274378.34203873
1963-10-11,11286298.65926636
1963-10-14,11294478.29342906
1963-10-15,11301975.332690077
1963-10-16,11392004.997347148
1963-10-17,11429172.688354725
1963-10-18,11439511.83604871
1963-10-21,11452386.34598227
1963-10-22,11396865.712551396
1963-10-23,11394996.171457699
1963-10-24,11448829.797172856
1963-10-25,11554758.172282528
1963-10-28,11631249.399578148
1963-10-29,11619752.569088144
1963-10-30,11508705.401413465
1963-10-31,11532952.68697154
1963-11-01,11505955.975599188
1963-11-04,11450487.69689827
1963-11-06,11334822.250909595
1963-11-07,11374431.625940388
1963-11-08,11431039.833893957
1963-11-11,11455474.452602657
1963-11-12,11415352.544687444
1963-11-13,11434762.575175634
1963-11-14,11410626.330569265
1963-11-15,11327804.582654672
1963-11-18,11250733.495147645
1963-11-19,11271715.854448864
1963-11-20,11384102.742331943
1963-11-21,11230247.487111649
1963-11-22,10926727.2855203
1963-11-26,11369115.556998236
1963-11-27,11349681.482272917
1963-11-29,11503712.655298868
1963-12-02,11564569.400520494
1963-12-03,11550081.330361743
1963-12-04,11578898.444792503
1963-12-05,11644975.022401078
1963-12-06,11602543.388888296
1963-12-09,11609074.689959733
1963-12-10,11614670.00701068
1963-12-11,11583241.173086464
1963-12-12,11585733.225810478
1963-12-13,11600689.379591128
1963-12-16,11622943.901097694
1963-12-17,11692040.757295696
1963-12-18,11675936.036575092
1963-12-19,11650469.87242221
1963-12-20,11622674.740506886
1963-12-23,11552742.236295078
1963-12-24,11578712.614873977
1963-12-26,11635668.663582312
1963-12-27,11655383.954703687
1963-12-30,11686905.80927176
1963-12-31,11759770.393520316
1964-01-02,11825926.022883333
1964-01-03,11828258.851092152
1964-01-06,11848895.918275576
1964-01-07,11862501.891116234
1964-01-08,11883296.901193634
1964-01-09,11927998.066880852
1964-01-10,11922677.515212122
1964-01-13,11923174.25160629
1964-01-14,11945985.844868671
1964-01-15,11990675.763812559
1964-01-16,11987081.856816432
1964-01-17,11989568.70112962
1964-01-20,11979291.144819861
1964-01-21,12013048.584682385
1964-01-22,12078066.32748711
1964-01-23,12088378.928046564
1964-01-24,12073372.41897095
1964-01-27,12072319.994266422
1964-01-28,12085935.17257157
1964-01-29,12013411.250190243
1964-01-30,12034841.848325562
1964-01-31,12098473.348234044
1964-02-03,12091140.351122476
1964-02-04,12078004.965961056
1964-02-05,12058618.736047102
1964-02-06,12097238.35399308
1964-02-07,12137239.999146726
1964-02-10,12120380.290312657
1964-02-11,12165007.733690947
1964-02-12,12202065.501071265
1964-02-13,12206314.105959699
1964-02-14,12200972.052455265
1964-02-17,12201477.459872283
1964-02-18,12194171.164057363
1964-02-19,12207576.68760544
1964-02-20,12219418.414010761
1964-02-24,12224018.878988398
1964-02-25,12222376.015492937
1964-02-26,12252962.296815304
1964-02-27,12194938.094419999
1964-02-28,12214015.506186437
1964-03-02,12254057.911848465
1964-03-03,12284135.829057861
1964-03-04,12251775.716179745
1964-03-05,12251113.927181046
1964-03-06,12291038.568130584
1964-03-09,12288019.894776527
1964-03-10,12329505.006610096
1964-03-11,12376753.349673282
1964-03-12,12397943.76545921
1964-03-13,12398376.176008428
1964-03-16,12411940.854292154
1964-03-17,12431107.6162872
1964-03-18,12431536.01241845
1964-03-19,12410116.140487641
1964-03-20,12340543.18110649
1964-03-23,12345620.886503942
1964-03-24,12314421.612045376
1964-03-25,12344996.00747722
1964-03-26,12388566.491989132
1964-03-30,12385624.427515907
1964-03-31,12380820.525525786
1964-04-01,12422415.276373405
1964-04-02,12485655.692919517
1964-04-03,12514271.966147808
1964-04-06,12530381.49639071
1964-04-07,12486995.97941003
1964-04-08,12518826.170563493
1964-04-09,12511652.801524714
1964-04-10,12535960.96619917
1964-04-13,12517035.915784568
1964-04-14,12542519.028348785
1964-04-15,12568789.381828869
1964-04-16,12586467.780138347
1964-04-17,12631813.376142468
1964-04-20,12627590.165742833
1964-04-21,12644714.353311129
1964-04-22,12637566.003880529
1964-04-23,12621026.112461941
1964-04-24,12523048.279378586
1964-04-27,12463949.77743553
1964-04-28,12550726.632039083
1964-04-29,12530111.336663887
1964-04-30,12493227.908220232
1964-05-01,12605093.77779191
1964-05-04,12655610.095832122
1964-05-05,12720487.084302718
1964-05-06,12749339.742150841
1964-05-07,12763890.74984259
1964-05-08,12761718.73422014
1964-05-11,12759978.966350801
1964-05-12,12801350.483695444
1964-05-13,12772255.024326904
1964-05-14,12755686.72097098
1964-05-15,12793925.292547079
1964-05-18,12738013.68285394
1964-05-19,12672913.2433466
1964-05-20,12719652.789177183
1964-05-21,12764155.47088942
1964-05-22,12731940.743080342
1964-05-25,12716623.381250296
1964-05-26,12690673.399131
1964-05-27,12660687.077585982
1964-05-28,12688749.921809271
1964-06-01,12653047.18831198
1964-06-02,12589520.636321142
1964-06-03,12557305.563295664
1964-06-04,12429543.452979
1964-06-05,12495034.345203543
1964-06-08,12439060.864717614
1964-06-09,12528089.12933246
1964-06-10,12575735.086949017
1964-06-11,12611757.961467484
1964-06-12,12592073.647683837
1964-06-15,12653508.460474737
1964-06-16,12721495.743254377
1964-06-17,12786344.355527392
1964-06-18,12793935.291107152
1964-06-19,12819727.196618479
1964-06-22,12868192.150502907
1964-06-23,12815054.395086179
1964-06-24,12861268.514826616
1964-06-25,12885403.695842626
1964-06-26,12925307.538259408
1964-06-29,12957076.082977131
1964-06-30,12965439.485868037
1964-07-01,13057374.6721631
1964-07-02,13109884.791909603
1964-07-06,13164265.442535557
1964-07-07,13197187.657760393
1964-07-08,13197432.07300698
1964-07-09,13181615.640243707
1964-07-10,13193484.650322232
1964-07-13,13189110.92416399
1964-07-14,13150166.370931981
1964-07-15,13194752.771196373
1964-07-16,13242551.572481353
1964-07-17,13290767.75453052
1964-07-20,13241067.310845355
1964-07-21,13220623.628028622
1964-07-22,13207322.370830145
1964-07-23,13212114.869448151
1964-07-24,13209437.956927065
1964-07-27,13153010.154124388
1964-07-28,13117216.264212303
1964-07-29,13128723.8520603
1964-07-30,13166618.600346612
1964-07-31,13181277.36282201
1964-08-03,13156366.810760325
1964-08-04,12992845.038478682
1964-08-05,13013708.644233242
1964-08-06,12906376.562878735
1964-08-07,12978390.06507335
1964-08-10,12969200.278289024
1964-08-11,12956061.99989039
1964-08-12,13021170.715718959
1964-08-13,13069933.682187717
1964-08-14,13060929.08671437
1964-08-17,13065928.888056751
1964-08-18,13072703.066923318
1964-08-19,13060550.558598844
1964-08-20,13001096.648142323
1964-08-21,13022057.019563958
1964-08-24,13000253.362994589
1964-08-25,12916160.690677917
1964-08-26,12895119.99432616
1964-08-27,12955461.259512551
1964-08-28,12991290.219579978
1964-08-31,12969488.697306423
1964-09-01,13025143.685011104
1964-09-02,13035734.706657197
1964-09-03,13075622.444736244
1964-09-04,13107621.368201995
1964-09-08,13129873.93979778
1964-09-09,13158707.949314982
1964-09-10,13167048.589282518
1964-09-11,13222689.018548017
1964-09-14,13189743.813156402
1964-09-15,13155472.10520153
1964-09-16,13204331.038594143
1964-09-17,13302028.497362874
1964-09-18,13252516.877651684
1964-09-21,13327382.607133167
1964-09-22,13333135.341005038
1964-09-23,13337298.62534593
1964-09-24,13352555.476872269
1964-09-25,13386837.278727796
1964-09-28,13423178.397211812
1964-09-29,13407216.162948763
1964-09-30,13398695.644468125
1964-10-01,13383835.150589244
1964-10-02,13429198.54638393
1964-10-05,13472199.037189262
1964-10-06,13491729.425861986
1964-10-07,13494288.086357316
1964-10-08,13533299.743673924
1964-10-09,13562586.233402235
1964-10-12,13565163.529144486
1964-10-13,13526388.57831204
1964-10-14,13500394.600295931
1964-10-15,13404830.252962634
1964-10-16,13486815.861147821
1964-10-19,13506713.850247368
1964-10-20,13558153.014876219
1964-10-21,13557287.136366645
1964-10-22,13532887.426423471
1964-10-23,13565548.153857091
1964-10-26,13547401.485862559
1964-10-27,13559229.015199447
1964-10-28,13521923.968611987
1964-10-29,13540093.280040827
1964-10-30,13561664.447099896
1964-11-02,13627253.944316167
1964-11-04,13623388.559106177
1964-11-05,13627513.907065177
1964-11-06,13639562.435893873
1964-11-09,13637215.969845613
1964-11-10,13593565.145375464
1964-11-11,13631040.628453089
1964-11-12,13672664.759683918
1964-11-13,13665923.715183979
1964-11-16,13739611.291297097
1964-11-17,13789917.909937631
1964-11-18,13820742.822228847
1964-11-19,13826491.271933362
1964-11-20,13843240.8915497
1964-11-23,13747090.671528563
1964-11-24,13702344.225062108
1964-11-25,13646099.652856736
1964-11-27,13604063.79346462
1964-11-30,13479705.920468967
1964-12-01,13342556.916492833
1964-12-02,13392164.964364054
1964-12-03,13465615.958320867
1964-12-04,13493414.835493486
1964-12-07,13504949.217675965
1964-12-08,13464289.722402656
1964-12-09,13379541.344109025
1964-12-10,13389578.437873563
1964-12-11,13423693.764600758
1964-12-14,13383479.037809126
