date,nav
2003-07-01,9990022.322561951
2003-07-02,10125326.884178162
2003-07-03,9956772.12985074
2003-07-07,10099712.013316872
2003-07-08,10147617.332241632
2003-07-09,10107853.952107651
2003-07-10,10001252.210838964
2003-07-11,10130153.946468795
2003-07-14,10121113.602478933
2003-07-15,9962690.375116033
2003-07-16,9906859.595358072
2003-07-17,9744909.497390293
2003-07-18,9818817.442317216
2003-07-21,9570624.7051823
2003-07-22,9689939.880629044
2003-07-23,9725226.124547424
2003-07-24,9614862.280962836
2003-07-25,9770539.937603882
2003-07-28,9663884.72042699
2003-07-29,9524841.939767018
2003-07-30,9577069.059837097
2003-07-31,9535494.89409733
2003-08-01,9489402.707716797
2003-08-04,9484685.182173604
2003-08-05,9284908.818898126
2003-08-06,9338205.000853375
2003-08-07,9435436.538851535
2003-08-08,9461994.77005959
2003-08-11,9497146.500948638
2003-08-12,9582908.324235043
2003-08-13,9534017.376111796
2003-08-14,9559617.984038096
2003-08-15,9589036.136740763
2003-08-18,9670981.405865654
2003-08-19,9707076.806888431
2003-08-20,9667740.762205273
2003-08-21,9698109.089580443
2003-08-22,9602427.492120352
2003-08-25,9617520.416723765
2003-08-26,9633569.901960151
2003-08-27,9636248.82765761
2003-08-28,9695267.855652899
2003-08-29,9760027.271718267
2003-09-02,9889712.897123652
2003-09-03,9942998.564449666
2003-09-04,9947581.36870579
2003-09-05,9892001.294865198
2003-09-08,9972983.59232996
2003-09-09,9907847.785121249
2003-09-10,9808338.183571454
2003-09-11,9836793.319123968
2003-09-12,9854747.020061314
2003-09-15,9820178.234455053
2003-09-16,9962283.482086662
2003-09-17,9942986.011406276
2003-09-18,10059307.900309596
2003-09-19,10008302.772291565
2003-09-22,9901149.267735519
2003-09-23,9938206.561152685
2003-09-24,9763247.196902271
2003-09-25,9683790.944540555
2003-09-26,9652092.202673253
2003-09-29,9745493.777130196
2003-09-30,9651719.462902706
2003-10-01,9854950.138814474
2003-10-02,9849186.08158361
2003-10-03,9801251.739688545
2003-10-06,9873611.790962376
2003-10-07,9854429.324577916
2003-10-08,9846527.085958282
2003-10-09,9840970.66068147
2003-10-10,9896588.442127854
2003-10-13,9911807.863379627
2003-10-14,9906354.73202736
2003-10-15,9844169.463049745
2003-10-16,9828988.122514933
2003-10-17,9773584.23243162
2003-10-20,9852762.644730408
2003-10-21,9852656.802689541
2003-10-22,9799284.881383566
2003-10-23,9749795.474988615
2003-10-24,9838625.223473402
2003-10-27,9816323.767706785
2003-10-28,9993288.732924758
2003-10-29,9940989.698548151
2003-10-30,9924071.983046064
2003-10-31,9948901.285121767
2003-11-03,9975235.518981874
2003-11-04,9988214.303084921
2003-11-05,9959946.257853983
2003-11-06,9961103.958481602
2003-11-07,9869907.59591823
2003-11-10,9825558.960086733
2003-11-11,9837308.42752914
2003-11-12,9977996.202159017
2003-11-13,10065264.572755162
2003-11-14,10035190.476904549
2003-11-17,9996884.645698072
2003-11-18,9935736.657175306
2003-11-19,9949244.675677048
2003-11-20,9923467.546242062
2003-11-21,9958054.538747631
2003-11-24,10031150.760182714
2003-11-25,10092303.94290667
2003-11-26,10102297.9873542
2003-11-28,10043007.044850014
2003-12-01,10087819.737688288
2003-12-02,10090868.349303247
2003-12-03,10047889.443399336
2003-12-04,10109736.482268292
2003-12-05,10161749.565973828
2003-12-08,10190259.479450408
2003-12-09,10062504.455237025
2003-12-10,10085891.93739754
2003-12-11,10257427.397314826
2003-12-12,10276212.711651424
2003-12-15,10220520.049561352
2003-12-16,10392417.294022439
2003-12-17,10450850.980379198
2003-12-18,10602519.688529419
2003-12-19,10573645.67357318
2003-12-22,10617982.196160605
2003-12-23,10553386.513029924
2003-12-24,10607258.944602534
2003-12-26,10647065.84291398
2003-12-29,10723403.12583058
2003-12-30,10713029.729960583
2003-12-31,10740701.762866938
2004-01-02,10649144.386788612
2004-01-05,10754973.88902733
2004-01-06,10844072.822436923
2004-01-07,10903702.512186702
2004-01-08,10945885.334253274
2004-01-09,10978022.266901666
2004-01-12,11056494.478543028
2004-01-13,11051594.196016101
2004-01-14,11162231.808719806
2004-01-15,11194529.476490421
2004-01-16,11191092.512204714
2004-01-20,11168277.093361177
2004-01-21,11285436.373806562
2004-01-22,11303143.0219679
2004-01-23,11181294.26285495
2004-01-26,11274207.263333162
2004-01-27,11201619.453093454
2004-01-28,10992811.188955793
2004-01-29,10989572.403725721
2004-01-30,11039010.985729458
2004-02-02,11074550.301243167
2004-02-03,11097818.518754566
2004-02-04,10989356.375756951
2004-02-05,10979384.326392842
2004-02-06,11168133.071236853
2004-02-09,11195711.972793939
2004-02-10,11200085.202863079
2004-02-11,11374456.481360268
2004-02-12,11326225.225713724
2004-02-13,11304384.298339786
2004-02-17,11403888.852305679
2004-02-18,11351180.793603402
2004-02-19,11316749.503890984
2004-02-20,11243852.035919446
2004-02-23,11251434.970472649
2004-02-24,11248594.316191206
2004-02-25,11307063.303314202
2004-02-26,11296112.856365869
2004-02-27,11347216.880335392
2004-03-01,11468177.510573657
2004-03-02,11336919.492004322
2004-03-03,11345873.591332793
2004-03-04,11409304.074715985
2004-03-05,11585481.014007963
2004-03-08,11507588.194100618
2004-03-09,11504098.21861716
2004-03-10,11310890.82460532
2004-03-11,11165940.411451723
2004-03-12,11275838.539703097
2004-03-15,11144085.061873244
2004-03-16,11256107.561139142
2004-03-17,11372126.793648839
2004-03-18,11339220.533664081
2004-03-19,11162008.66093533
2004-03-22,11062558.734546965
2004-03-23,11059141.561425677
2004-03-24,11059735.89402483
2004-03-25,11188148.41625076
2004-03-26,11119916.715994896
2004-03-29,11227260.030518774
2004-03-30,11268058.24552755
2004-03-31,11321079.018338269
2004-04-01,11360606.25095628
2004-04-02,11238989.08207152
2004-04-05,11244728.695281332
2004-04-06,11247432.940322349
2004-04-07,11221547.474268595
2004-04-08,11174336.087209102
2004-04-12,11182058.789938804
2004-04-13,10937623.727610772
2004-04-14,10946189.314779362
2004-04-15,10888287.571263025
2004-04-16,11010852.296699654
2004-04-19,10981841.669749353
2004-04-20,10719244.608052002
2004-04-21,10811547.044011658
2004-04-22,11003590.028442329
2004-04-23,10967122.12090915
2004-04-26,10949633.455793168
2004-04-27,11001527.364902556
2004-04-28,10787740.99072344
2004-04-29,10667743.63198297
2004-04-30,10609593.724792289
2004-05-03,10717745.447762014
2004-05-04,10677809.123244869
2004-05-05,10721099.412539778
2004-05-06,10617833.86142831
2004-05-07,10312071.49522407
2004-05-10,10202827.507688632
2004-05-11,10308055.505939981
2004-05-12,10357708.045091286
2004-05-13,10282580.12234453
2004-05-14,10338012.281976877
2004-05-17,10315415.90371108
2004-05-18,10346277.626093749
2004-05-19,10262849.736833554
2004-05-20,10345932.211103141
2004-05-21,10340602.303571356
2004-05-24,10390235.748862578
2004-05-25,10538599.976310613
2004-05-26,10625823.51926874
2004-05-27,10740078.06543268
2004-05-28,10708209.631839799
2004-06-01,10639510.85638361
2004-06-02,10673158.584209317
2004-06-03,10575707.714074662
2004-06-04,10658720.112122776
2004-06-07,10819330.640908612
2004-06-08,10834093.605073266
2004-06-09,10733835.485787012
2004-06-10,10785984.900455048
2004-06-14,10680124.763371745
2004-06-15,10754714.835242972
2004-06-16,10752639.883287095
2004-06-17,10736540.741076289
2004-06-18,10756418.03326674
2004-06-21,10716008.557951057
2004-06-22,10769100.336541224
2004-06-23,10860526.511757983
2004-06-24,10826658.28795087
2004-06-25,10775023.311454216
2004-06-28,10738359.84749859
2004-06-29,10782100.717501719
2004-06-30,10838932.073507749
2004-07-01,10690058.11329702
2004-07-02,10769301.18099169
2004-07-06,10655494.86679663
2004-07-07,10690498.628284972
2004-07-08,10617900.280895893
2004-07-09,10661859.81957775
2004-07-12,10678244.126945285
2004-07-13,10662023.847910268
2004-07-14,10624192.509174408
2004-07-15,10550837.889188169
2004-07-16,10644353.969274739
2004-07-19,10596959.771157444
2004-07-20,10658082.717273401
2004-07-21,10441749.164952008
2004-07-22,10481532.943080563
2004-07-23,10419862.91695797
2004-07-26,10362658.643391328
2004-07-27,10384123.787283469
2004-07-28,10430240.60388175
2004-07-29,10483184.534182584
2004-07-30,10578438.600407787
2004-08-02,10609194.130358614
2004-08-03,10552446.78413724
2004-08-04,10544381.295540258
2004-08-05,10405826.459412692
2004-08-06,10400698.487499088
2004-08-09,10380596.452825291
2004-08-10,10472047.372772602
2004-08-11,10484701.242389381
2004-08-12,10381914.27153831
2004-08-13,10419428.742496757
2004-08-16,10515885.648749694
2004-08-17,10623232.566374354
2004-08-18,10696548.223918507
2004-08-19,10690336.310092235
2004-08-20,10743139.363275336
2004-08-23,10679243.537492182
2004-08-24,10702647.736785254
2004-08-25,10775575.746457655
2004-08-26,10819113.744374217
2004-08-27,10839415.044399707
2004-08-30,10786858.918245532
2004-08-31,10888372.615109758
2004-09-01,10905915.690757276
2004-09-02,10969681.264430838
2004-09-03,10895013.424863767
2004-09-07,10972008.680700526
2004-09-08,11005700.933553781
2004-09-09,10976112.816075526
2004-09-10,11052632.754409084
2004-09-13,11114445.443269793
2004-09-14,11138199.936814748
2004-09-15,11042011.495829316
2004-09-16,11134753.254711982
2004-09-17,11141769.749713076
2004-09-20,11137906.10808877
2004-09-21,11191958.487536248
2004-09-22,11098745.792790053
2004-09-23,11001319.165261492
2004-09-24,11048368.902326716
2004-09-27,11008961.539168876
2004-09-28,11047791.314747391
2004-09-29,11032231.2739734
2004-09-30,11011747.137787763
2004-10-01,11149577.559143305
2004-10-04,11170739.053752515
2004-10-05,11175396.501169888
2004-10-06,11213487.362374682
2004-10-07,11073392.019125674
2004-10-08,11075514.32807294
2004-10-11,11137091.822110256
2004-10-12,11093250.378715763
2004-10-13,11036066.399877874
2004-10-14,10986097.800210519
2004-10-15,11008098.239833511
2004-10-18,11064312.453141246
2004-10-19,10968098.283106731
2004-10-20,10995516.305375395
2004-10-21,11048913.627441399
2004-10-22,10957020.260131944
2004-10-25,10955885.17886042
2004-10-26,11098621.441190314
2004-10-27,11160040.635671861
2004-10-28,11208482.121480253
2004-10-29,11237343.152040085
2004-11-01,11211786.7743293
2004-11-02,11241473.08331772
2004-11-03,11375067.248182643
2004-11-04,11519657.002528556
2004-11-05,11502910.708170863
2004-11-08,11468719.25946401
2004-11-09,11447640.655433683
2004-11-10,11432241.844278967
2004-11-11,11514513.771642039
2004-11-12,11646401.419642674
2004-11-15,11678682.777210915
2004-11-16,11582826.7590833
2004-11-17,11709547.92584516
2004-11-18,11732986.539315661
2004-11-19,11538964.164881017
2004-11-22,11599806.821523072
2004-11-23,11605087.322293233
2004-11-24,11644812.783188395
2004-11-26,11592433.56823941
2004-11-29,11468718.396076597
2004-11-30,11464094.275172144
2004-12-01,11588846.38592811
2004-12-02,11571316.751850076
2004-12-03,11676587.909796901
2004-12-06,11692722.459194351
2004-12-07,11582285.446247188
2004-12-08,11731951.141353905
2004-12-09,11743712.673557378
2004-12-10,11771750.854257746
2004-12-13,11879374.0482183
2004-12-14,11939176.388062444
2004-12-15,11988747.695037883
2004-12-16,11891029.10934699
2004-12-17,11796333.024612796
2004-12-20,11811554.499541081
2004-12-21,11915844.645726638
2004-12-22,11930192.54774907
2004-12-23,11922395.338901673
2004-12-27,11847073.959744118
2004-12-28,11908222.877753006
2004-12-29,11900620.371090176
2004-12-30,11921395.467481865
2004-12-31,11908730.927763792
2005-01-03,11875464.139759107
2005-01-04,11658199.436291814
2005-01-05,11596662.171728231
2005-01-06,11664224.52941634
2005-01-07,11636688.38731954
2005-01-10,11688142.77046824
2005-01-11,11630344.994432101
2005-01-12,11684407.553617984
2005-01-13,11637012.04141755
2005-01-14,11688909.407964882
2005-01-18,11802654.541126082
2005-01-19,11686677.866358696
2005-01-20,11635638.87066526
2005-01-21,11587228.190014454
2005-01-24,11562082.01935788
2005-01-25,11549617.936743753
2005-01-26,11584774.906655539
2005-01-27,11585066.83740879
2005-01-28,11643166.93560436
2005-01-31,11716443.347574582
2005-02-01,11779716.047134185
2005-02-02,11814426.64654695
2005-02-03,11763955.737376984
2005-02-04,11945119.394374229
2005-02-07,11951477.130421251
2005-02-08,11974599.625145614
2005-02-09,11944080.905360514
2005-02-10,11910768.614357147
2005-02-11,11995808.792910848
2005-02-14,12000480.593589332
2005-02-15,12025407.35876621
2005-02-16,11988718.546632625
2005-02-17,11863546.225276751
2005-02-18,11817845.878886798
2005-02-22,11642072.722914625
2005-02-23,11730938.164208094
2005-02-24,11787522.555816604
2005-02-25,11918935.005554285
2005-02-28,11763485.538955932
2005-03-01,11820702.90651588
2005-03-02,11811741.178631263
2005-03-03,11807985.25612741
2005-03-04,12007133.946522336
2005-03-07,12013902.987640264
2005-03-08,11910728.827848235
2005-03-09,11686468.951839656
2005-03-10,11731639.944863789
2005-03-11,11599139.90411553
2005-03-14,11697220.586646643
2005-03-15,11577322.51390162
2005-03-16,11504145.98252473
2005-03-17,11569878.069575183
2005-03-18,11505227.802545734
2005-03-21,11447438.202147402
2005-03-22,11247282.722666455
2005-03-23,11280880.457526442
2005-03-24,11302116.960003095
2005-03-28,11280331.627258342
2005-03-29,11249923.391997108
2005-03-30,11432283.359043837
2005-03-31,11464583.148023196
2005-04-01,11434670.843287896
2005-04-04,11446918.199820668
2005-04-05,11500388.943331482
2005-04-06,11572412.341919696
2005-04-07,11588210.925553389
2005-04-08,11479950.116813453
2005-04-11,11521469.511345543
2005-04-12,11638853.802811515
2005-04-13,11508242.608502429
2005-04-14,11389685.083913203
2005-04-15,11307205.513277626
2005-04-18,11316139.314725852
2005-04-19,11469314.921697825
2005-04-20,11301703.076290485
