date,nav
2003-07-01,9989509.994768621
2003-07-02,10124591.361301169
2003-07-03,9955770.037042985
2003-07-07,10099176.769436453
2003-07-08,10147107.397162192
2003-07-09,10106941.79328846
2003-07-10,9999738.676505733
2003-07-11,10128853.004953224
2003-07-14,10119534.433924396
2003-07-15,9961472.55261574
2003-07-16,9904523.641992973
2003-07-17,9742434.822308704
2003-07-18,9816525.56731734
2003-07-21,9567061.588829657
2003-07-22,9686712.355691526
2003-07-23,9722097.566371394
2003-07-24,9610946.78889051
2003-07-25,9767052.105186494
2003-07-28,9660058.982550692
2003-07-29,9521703.313535487
2003-07-30,9573589.352637678
2003-07-31,9531459.610814195
2003-08-01,9484797.385471512
2003-08-04,9479942.837272082
2003-08-05,9279621.83077883
2003-08-06,9333143.132588487
2003-08-07,9430734.036498422
2003-08-08,9457436.946336687
2003-08-11,9492759.724985689
2003-08-12,9578847.067734012
2003-08-13,9529871.918578412
2003-08-14,9555614.968340991
2003-08-15,9585187.385474522
2003-08-18,9667447.165897034
2003-08-19,9703717.937601972
2003-08-20,9664327.664720444
2003-08-21,9694853.873461528
2003-08-22,9598946.265166678
2003-08-25,9614150.00306265
2003-08-26,9631270.610003423
2003-08-27,9634022.805941436
2003-08-28,9693286.809155533
2003-08-29,9758309.11418055
2003-09-02,9888455.916530063
2003-09-03,9941970.87509969
2003-09-04,9946634.936816432
2003-09-05,9890952.839810053
2003-09-08,9972248.835381147
2003-09-09,9906982.061774638
2003-09-10,9807236.29758358
2003-09-11,9835844.500068681
2003-09-12,9853919.465453696
2003-09-15,9819312.025627213
2003-09-16,9961916.760490699
2003-09-17,9942627.927600611
2003-09-18,10059371.554752227
2003-09-19,10008279.120456658
2003-09-22,9900868.16617362
2003-09-23,9938106.713948332
2003-09-24,9762682.80870059
2003-09-25,9683051.816815816
2003-09-26,9651323.303512529
2003-09-29,9745076.044576619
2003-09-30,9651083.222533265
2003-10-01,9854999.746334964
2003-10-02,9849244.539160978
2003-10-03,9802450.224070633
2003-10-06,9875191.189516304
2003-10-07,9856677.002054743
2003-10-08,9848074.82726183
2003-10-09,9843193.97460388
2003-10-10,9898705.72021985
2003-10-13,9914630.222340215
2003-10-14,9910368.604832822
2003-10-15,9848415.4540787
2003-10-16,9835240.074555686
2003-10-17,9779894.25646027
2003-10-20,9858762.162711643
2003-10-21,9858625.613295136
2003-10-22,9805784.974840658
2003-10-23,9755710.800159365
2003-10-24,9845137.120539177
2003-10-27,9822111.780942932
2003-10-28,9999465.237162866
2003-10-29,9947531.110110102
2003-10-30,9931046.023667086
2003-10-31,9955849.289184777
2003-11-03,9981805.962724123
2003-11-04,9994610.21864079
2003-11-05,9966110.448960083
2003-11-06,9967188.140914561
2003-11-07,9876249.192196343
2003-11-10,9831766.999431228
2003-11-11,9843334.35112641
2003-11-12,9984160.357399262
2003-11-13,10071535.154269366
2003-11-14,10040567.506674327
2003-11-17,10001969.705268215
2003-11-18,9940390.681179347
2003-11-19,9953766.435633723
2003-11-20,9927248.665719405
2003-11-21,9961838.767864054
2003-11-24,10037072.536924236
2003-11-25,10098102.185992485
2003-11-26,10108142.889649149
2003-11-28,10049224.587008715
2003-12-01,10095357.280866452
2003-12-02,10097480.324373147
2003-12-03,10054962.014367048
2003-12-04,10116274.43494038
2003-12-05,10165154.574199507
2003-12-08,10193929.563883116
2003-12-09,10066372.231299894
2003-12-10,10089239.781437807
2003-12-11,10260205.628966358
2003-12-12,10278779.586215753
2003-12-15,10222693.509290824
2003-12-16,10397505.913073558
2003-12-17,10455256.791055493
2003-12-18,10607214.76099358
2003-12-19,10578127.545249699
2003-12-22,10622375.133578394
2003-12-23,10557351.240322666
2003-12-24,10610639.40097064
2003-12-26,10650475.217848377
2003-12-29,10726728.457593381
2003-12-30,10716183.232395165
