,nav
1963-03-01,9970094.154924136
1963-03-04,10077575.549809169
1963-03-05,10081891.145350011
1963-03-06,10108303.880987981
1963-03-07,10164812.25251361
1963-03-08,10176878.370647458
1963-03-11,10208097.291013116
1963-03-12,10234084.480350796
1963-03-13,10272447.518035188
1963-03-14,10225547.222944707
1963-03-15,10277520.226559682
1963-03-18,10230463.615007125
1963-03-19,10209328.629901616
1963-03-20,10285040.043641005
1963-03-21,10270148.63820896
1963-03-22,10315588.324842952
1963-03-25,10313243.959725102
1963-03-26,10326856.511498787
1963-03-27,10371323.478662036
1963-03-28,10356428.446450202
1963-03-29,10364009.068717064
1963-04-01,10410700.05509164
1963-04-02,10401464.662325243
1963-04-03,10483424.53405821
1963-04-04,10569107.521663733
1963-04-05,10637001.643532943
1963-04-08,10659867.596924258
1963-04-09,10640928.293508997
1963-04-10,10599209.248283679
1963-04-11,10674905.07098394
1963-04-15,10720391.51515651
1963-04-16,10737662.811692365
1963-04-17,10704019.418793757
1963-04-18,10708796.73667287
1963-04-19,10780117.36111207
1963-04-22,10794094.408962896
1963-04-23,10830740.722921416
1963-04-24,10869875.202550467
1963-04-25,10885576.374176795
1963-04-26,10876918.037299724
1963-04-29,10872127.92942107
1963-04-30,10896269.218091065
1963-05-01,10932269.564222459
1963-05-02,10964216.786758462
1963-05-03,10951792.312547483
1963-05-06,10885425.697083054
1963-05-07,10880810.61182576
1963-05-08,10961815.258588918
1963-05-09,11006893.426630946
1963-05-10,11033939.251554845
1963-05-13,11039821.301052842
1963-05-14,11007404.1027304
1963-05-15,11042458.011077851
1963-05-16,11024093.066783832
1963-05-17,11012931.997336896
1963-05-20,10955389.100917244
1963-05-21,10993250.554913431
1963-05-22,10993926.419000883
1963-05-23,10979299.03168524
1963-05-24,10949379.160368051
1963-05-27,10926746.398423407
1963-05-28,10940323.32819562
1963-05-29,10990968.501300287
1963-05-31,11066223.074907172
1963-06-03,11034146.144984107
1963-06-04,11036360.567811027
1963-06-05,11010471.00505391
1963-06-06,11009985.661890145
1963-06-07,10984106.862594275
1963-06-10,10913772.020998107
1963-06-11,10937473.083128314
1963-06-12,10988530.081497349
1963-06-13,10961090.050772041
1963-06-14,10964882.350328814
1963-06-17,10912133.916853985
1963-06-18,10923742.901104242
1963-06-19,10935351.492506994
1963-06-20,10923533.703989672
1963-06-21,10961375.623662831
1963-06-24,10956490.586499846
1963-06-25,10931889.569272328
1963-06-26,10833323.055787625
1963-06-27,10780396.469253277
1963-06-28,10828191.122765413
1963-07-01,10741947.944541188
1963-07-02,10819028.315769626
1963-07-03,10895131.935799308
1963-07-05,10931995.804965332
1963-07-08,10850417.716317195
1963-07-09,10907089.823564343
1963-07-10,10892937.818100438
1963-07-11,10863996.47104991
1963-07-12,10854587.679984648
1963-07-15,10797247.922345478
1963-07-16,10788314.787948359
1963-07-17,10746785.165851427
1963-07-18,10687012.485877957
1963-07-19,10665488.03829975
1963-07-22,10597602.165897021
1963-07-23,10599512.930314763
1963-07-24,10666889.185458183
1963-07-25,10664249.11702357
1963-07-26,10726123.413893549
1963-07-29,10749378.410839487
1963-07-30,10830920.774306547
1963-07-31,10814087.79030676
1963-08-01,10813778.876303526
1963-08-02,10850472.062560773
1963-08-05,10917796.029832987
1963-08-06,10981500.608888326
1963-08-07,10939947.771652255
1963-08-08,10958810.82358195
1963-08-09,11031641.12532982
1963-08-12,11042833.128892263
1963-08-13,11065784.001157826
1963-08-14,11110280.355019975
1963-08-15,11168461.84910728
1963-08-16,11195165.886002803
1963-08-19,11199098.189961853
1963-08-20,11190081.925263548
1963-08-21,11167368.027157707
1963-08-22,11207116.298897361
1963-08-23,11242138.815181194
1963-08-26,11268547.839528983
1963-08-27,11205160.537602635
1963-08-28,11287367.261060689
1963-08-29,11297454.975157946
1963-08-30,11342159.039108897
1963-09-03,11362259.773147916
1963-09-04,11350329.190583812
1963-09-05,11370709.096137904
1963-09-06,11336770.342184627
1963-09-09,11298809.818102153
1963-09-10,11363733.258835295
1963-09-11,11397186.694497123
1963-09-12,11389726.537142547
1963-09-13,11393274.748698639
1963-09-16,11380456.638350599
1963-09-17,11388717.631482739
1963-09-18,11347948.15675657
1963-09-19,11414418.632266596
1963-09-20,11435960.140489118
