,nav
1963-03-01,9990022.829026677
1963-03-04,10097506.477107782
1963-03-05,10101824.333786892
1963-03-06,10128239.330819653
1963-03-07,10184749.948617509
1963-03-08,10196818.29789286
1963-03-11,10228039.457342843
1963-03-12,10254028.886016278
1963-03-13,10292394.170982014
1963-03-14,10245651.354642686
1963-03-15,10297634.069534704
1963-03-18,10250523.855805125
1963-03-19,10229398.698770173
1963-03-20,10305120.185141578
1963-03-21,10290238.731765036
1963-03-22,10335930.812427854
1963-03-25,10333775.163875615
1963-03-26,10347882.211727295
1963-03-27,10392359.173387015
1963-03-28,10377474.136813221
1963-03-29,10384821.958336398
1963-04-01,10431458.733419668
1963-04-02,10422475.578645961
1963-04-03,10504445.32089604
1963-04-04,10589895.504923001
1963-04-05,10657799.549351713
1963-04-08,10681864.036913747
1963-04-09,10663509.652458897
1963-04-10,10622940.835822904
1963-04-11,10698656.362131646
1963-04-15,10744500.496597113
1963-04-16,10761224.563752668
1963-04-17,10727600.302956294
1963-04-18,10731830.237061644
1963-04-19,10802036.53332242
1963-04-22,10815882.252143871
1963-04-23,10852547.765883375
1963-04-24,10891135.205344161
1963-04-25,10906289.455978055
1963-04-26,10897650.559353963
1963-04-29,10892730.526724724
1963-04-30,10916891.51746479
1963-05-01,10952345.325664815
1963-05-02,10984312.371096592
1963-05-03,10971341.479735348
1963-05-06,10904280.098102272
1963-05-07,10899118.815415652
1963-05-08,10980709.593377518
1963-05-09,11026373.779473173
1963-05-10,11053647.23722987
1963-05-13,11058436.262007423
1963-05-14,11025479.289005598
1963-05-15,11060535.247959865
1963-05-16,11042172.354505302
1963-05-17,11031013.34310307
1963-05-20,10973496.047064606
1963-05-21,11011274.975494636
1963-05-22,11011955.686713325
1963-05-23,10997415.422636895
1963-05-24,10967664.856220376
1963-05-27,10945137.304238299
1963-05-28,10958657.695026498
1963-05-29,11009169.907215973
1963-05-31,11084227.824770637
1963-06-03,11052200.675484285
1963-06-04,11054413.888279375
1963-06-05,11028599.536412299
1963-06-06,11028095.93276588
1963-06-07,11002292.307049705
1963-06-10,10932160.052921277
1963-06-11,10955637.232584553
1963-06-12,11006431.903720947
1963-06-13,10979164.12722114
1963-06-14,10982944.6849654
1963-06-17,10930538.106975261
1963-06-18,10942089.239073247
1963-06-19,10953639.981868772
1963-06-20,10941902.39025527
1963-06-21,10979531.879038243
1963-06-24,10974678.703330636
1963-06-25,10950233.258427998
1963-06-26,10852258.17388876
1963-06-27,10799654.012246832
1963-06-28,10847135.217876332
1963-07-01,10761570.847794736
1963-07-02,10838378.671278166
1963-07-03,10913922.587833215
1963-07-05,10950675.662970724
1963-07-08,10869864.024100184
1963-07-09,10925951.741823338
1963-07-10,10911753.235462505
1963-07-11,10883226.331246953
1963-07-12,10873734.42541895
1963-07-15,10816628.283573048
1963-07-16,10807782.701234374
1963-07-17,10766763.135158176
1963-07-18,10707290.007822266
1963-07-19,10685948.840354329
1963-07-22,10618614.610638706
1963-07-23,10620666.464249946
1963-07-24,10687551.096172279
1963-07-25,10684944.442369793
1963-07-26,10746448.214737432
1963-07-29,10769534.826296974
1963-07-30,10850316.464274932
1963-07-31,10833638.369441014
1963-08-01,10833416.935773786
1963-08-02,10869806.994925456
1963-08-05,10936585.519057846
1963-08-06,11000212.231815591
1963-08-07,10959287.18236302
1963-08-08,10977768.461595612
1963-08-09,11050001.976174906
1963-08-12,11061304.817871582
1963-08-13,11084332.039155042
1963-08-14,11128474.253458416
1963-08-15,11185938.177707661
1963-08-16,11212194.164627224
1963-08-19,11215807.128692368
1963-08-20,11206894.862319632
1963-08-21,11184649.063838596
1963-08-22,11224084.716607867
1963-08-23,11258835.208826523
1963-08-26,11284979.899908576
1963-08-27,11221937.728206007
1963-08-28,11303406.877983894
1963-08-29,11313425.271806257
1963-08-30,11357763.849126125
1963-09-03,11377708.75045653
1963-09-04,11365897.146534322
1963-09-05,11386125.448129969
1963-09-06,11352493.838174552
1963-09-09,11314872.337289013
1963-09-10,11379255.190974064
1963-09-11,11412437.29026537
1963-09-12,11405055.888197143
1963-09-13,11408588.716654124
1963-09-16,11395894.83722617
1963-09-17,11404100.218367849
1963-09-18,11363692.682082988
1963-09-19,11429609.569851404
1963-09-20,11450979.860975957
1963-09-23,11401099.41470881
1963-09-24,11446364.147826072
1963-09-25,11383016.746730145
1963-09-26,11286709.429114642
1963-09-27,11274860.10445327
1963-09-30,11210867.509360004
1963-10-01,11293079.13745198
1963-10-02,11306559.326101033
1963-10-03,11390326.058676623
1963-10-04,11385320.89900526
1963-10-07,11365357.548901835
1963-10-08,11341610.997528592
1963-10-09,11219464.035500467
1963-10-10,11271843.46664961
1963-10-11,11283732.22604368
1963-10-14,11291898.252031477
1963-10-15,11299350.305147044
1963-10-16,11389124.19667834
1963-10-17,11426161.731817842
1963-10-18,11436473.869009692
1963-10-21,11449321.346978638
1963-10-22,11393988.91676458
1963-10-23,11392101.286692018
1963-10-24,11445809.202906067
1963-10-25,11551410.045745023
1963-10-28,11628134.030054055
1963-10-29,11616885.855966054
1963-10-30,11505932.526394714
1963-10-31,11530511.038436936
1963-11-01,11503433.190406581
1963-11-04,11447740.116827056
1963-11-06,11332066.36963342
1963-11-07,11371954.876345314
1963-11-08,11428741.387298413
1963-11-11,11453326.950127542
1963-11-12,11412927.313330667
1963-11-13,11432311.187661592
1963-11-14,11407646.45111472
1963-11-15,11324236.186677681
1963-11-18,11246703.082131607
1963-11-19,11267667.819042413
1963-11-20,11380539.787425006
1963-11-21,11225967.495353147
1963-11-22,10920785.894436495
1963-11-26,11365408.789594831
1963-11-27,11346139.118128154
1963-11-29,11500909.773877395
1963-12-02,11562418.156727226
1963-12-03,11548320.842396574
1963-12-04,11577301.345601203
1963-12-05,11644178.6804988
1963-12-06,11601546.81085291
1963-12-09,11607555.017382907
1963-12-10,11613194.65658129
1963-12-11,11582516.92578903
1963-12-12,11585037.715054296
1963-12-13,11600534.026267014
1963-12-16,11623688.616347594
1963-12-17,11693153.671117742
1963-12-18,11676983.078436835
1963-12-19,11650955.19018077
1963-12-20,11623482.250993043
1963-12-23,11553084.050095227
1963-12-24,11579202.717295654
1963-12-26,11636402.403257193
1963-12-27,11656234.111283751
1963-12-30,11687358.966208512
1963-12-31,11760610.621030824
1964-01-02,11827228.066318879
1964-01-03,11830376.5408407
1964-01-06,11851706.710030606
1964-01-07,11864644.775315981
1964-01-08,11887887.416829744
1964-01-09,11932849.554431053
1964-01-10,11927535.135789482
1964-01-13,11927850.447993452
1964-01-14,11950811.819986355
1964-01-15,11995763.327666596
1964-01-16,11991413.962077592
1964-01-17,11993947.185298173
1964-01-20,11982662.66061836
1964-01-21,12016625.22139554
1964-01-22,12082007.350166934
1964-01-23,12091690.025349062
1964-01-24,12076191.749790218
1964-01-27,12075191.16250549
1964-01-28,12089030.934681809
1964-01-29,12016597.287533352
1964-01-30,12038116.06172873
1964-01-31,12101826.516445575
1964-02-03,12094545.93074909
1964-02-04,12081422.336709237
1964-02-05,12062056.582279604
1964-02-06,12100789.88050423
1964-02-07,12140729.378298992
1964-02-10,12124060.181369377
1964-02-11,12168681.338208735
1964-02-12,12205703.326920964
1964-02-13,12209876.5199723
1964-02-14,12204548.317986581
1964-02-17,12205040.915572105
1964-02-18,12197817.76640997
1964-02-19,12211211.159812907
1964-02-20,12223042.929790596
1964-02-24,12227682.141043453
1964-02-25,12225992.535441767
1964-02-26,12256538.411932139
1964-02-27,12198569.390439307
1964-02-28,12217653.83012915
1964-03-02,12257695.221332036
1964-03-03,12287771.39699441
1964-03-04,12255413.1637395
1964-03-05,12254751.984323837
1964-03-06,12294674.8807022
1964-03-09,12291656.542317158
1964-03-10,12333139.819396494
1964-03-11,12380385.42631951
1964-03-12,12401575.18550989
1964-03-13,12402007.571349619
1964-03-16,12415572.766220234
1964-03-17,12434738.416238498
1964-03-18,12435166.789648956
1964-03-19,12413748.161742523
1964-03-20,12344179.238048194
1964-03-23,12349257.384834275
1964-03-24,12318059.91898714
1964-03-25,12348633.11508117
1964-03-26,12392202.216246782
1964-03-30,12389261.137785954
1964-03-31,12384459.22391045
1964-04-01,12426052.133810142
1964-04-02,12489288.884507032
1964-04-03,12517903.497862171
1964-04-06,12534012.825134585
1964-04-07,12490630.388535421
1964-04-08,12522461.012177324
1964-04-09,12515288.61990712
1964-04-10,12539595.936409427
1964-04-13,12520672.138356658
1964-04-14,12546153.767558657
1964-04-15,12572423.734485395
1964-04-16,12590430.325290002
1964-04-17,12636380.609253878
1964-04-20,12632039.875175623
1964-04-21,12648887.980086025
1964-04-22,12641714.210981935
1964-04-23,12625102.238925701
1964-04-24,12526649.0274691
1964-04-27,12467220.410950284
1964-04-28,12554493.834770534
1964-04-29,12533563.38581908
1964-04-30,12496492.800470224
1964-05-01,12608934.362733547
1964-05-04,12659651.505406765
1964-05-05,12724863.37807956
1964-05-06,12753866.344680239
1964-05-07,12768709.152851475
1964-05-08,12765477.528130215
1964-05-11,12763062.42969753
1964-05-12,12804664.296285715
1964-05-13,12775438.06897175
1964-05-14,12758803.238254724
1964-05-15,12797256.101076191
1964-05-18,12740924.838164961
1964-05-19,12675508.761604981
1964-05-20,12723004.464070672
1964-05-21,12767749.644483654
1964-05-22,12735383.827013228
1964-05-25,12719735.166693809
1964-05-26,12693720.723263614
1964-05-27,12663719.41745009
1964-05-28,12691871.822544768
1964-06-01,12656070.961264314
1964-06-02,12592390.17264737
1964-06-03,12560050.43553784
1964-06-04,12432029.985339575
1964-06-05,12497650.94348179
1964-06-08,12441534.470843067
1964-06-09,12530748.919502744
1964-06-10,12578506.234125338
1964-06-11,12614636.710117783
1964-06-12,12594902.88798537
1964-06-15,12656475.213411614
1964-06-16,12724622.446716914
1964-06-17,12789623.511370957
1964-06-18,12797206.065433107
1964-06-19,12822926.61141089
1964-06-22,12871080.540621977
1964-06-23,12817829.689260082
1964-06-24,12864168.080287693
1964-06-25,12888374.784831963
1964-06-26,12928387.826164156
1964-06-29,12960149.823143512
1964-06-30,12968547.061197719
1964-07-01,13060715.900940431
1964-07-02,13113365.484105159
1964-07-06,13168089.45306931
1964-07-07,13200760.225643048
1964-07-08,13201233.51837091
1964-07-09,13187399.031613717
1964-07-10,13199988.794008624
1964-07-13,13195445.15447595
1964-07-14,13156436.428324614
1964-07-15,13201203.721746333
1964-07-16,13249141.186412515
1964-07-17,13298081.29833676
1964-07-20,13248705.410833586
1964-07-21,13227653.903336503
1964-07-22,13214930.553764524
1964-07-23,13219175.259639448
1964-07-24,13216517.110750727
1964-07-27,13159813.786740506
1964-07-28,13123959.79111245
1964-07-29,13135520.553663867
1964-07-30,13172947.229419168
1964-07-31,13187666.80647857
1964-08-03,13162557.140431548
1964-08-04,12998670.469412325
1964-08-05,13019701.038597856
1964-08-06,12911706.487017546
1964-08-07,12984334.11007969
1964-08-10,12975020.660819622
1964-08-11,12962293.168509025
1964-08-12,13027575.91976338
1964-08-13,13076049.652119588
1964-08-14,13067042.10490753
1964-08-17,13071952.14080745
1964-08-18,13078760.672143657
1964-08-19,13066597.491347676
1964-08-20,13007019.901341468
1964-08-21,13028048.716550143
1964-08-24,13006091.25349
1964-08-25,12922239.83967267
1964-08-26,12900914.426105266
1964-08-27,12961333.892477293
1964-08-28,12997223.910174346
1964-08-31,12975388.347001942
1964-09-01,13031117.064689685
1964-09-02,13041735.319869261
1964-09-03,13081675.653198542
1964-09-04,13113716.601018967
1964-09-08,13135992.176464442
1964-09-09,13164863.971892314
1964-09-10,13173214.929261262
1964-09-11,13228929.069269178
1964-09-14,13196032.862202646
1964-09-15,13161747.318512794
1964-09-16,13210460.027168494
1964-09-17,13308116.577106237
1964-09-18,13258508.89917593
1964-09-21,13333209.996575993
1964-09-22,13338985.960740017
1964-09-23,13343169.16246234
1964-09-24,13358469.870714651
1964-09-25,13392836.467736166
1964-09-28,13428667.491661992
1964-09-29,13412944.035004636
1964-09-30,13404416.107355619
1964-10-01,13389534.525353825
1964-10-02,13435006.901527273
1964-10-05,13478561.345339378
1964-10-06,13497882.420724902
1964-10-07,13500457.876484288
1964-10-08,13539564.989347657
1964-10-09,13569141.08701035
1964-10-12,13571835.225124005
1964-10-13,13532757.978026986
1964-10-14,13506737.12833453
1964-10-15,13411577.759976704
1964-10-16,13494316.395303542
1964-10-19,13514138.88314483
1964-10-20,13565211.143158505
1964-10-21,13563865.585192453
1964-10-22,13539437.782478316
1964-10-23,13572193.317369686
1964-10-26,13553889.354011532
1964-10-27,13565263.987083407
1964-10-28,13527400.115477847
1964-10-29,13545130.166770408
1964-10-30,13566772.012154426
1964-11-02,13631883.643978262
1964-11-04,13627964.27095981
1964-11-05,13632123.175190989
1964-11-06,13644222.360457595
1964-11-09,13641754.876716744
1964-11-10,13597531.771779284
1964-11-11,13635182.9592225
1964-11-12,13675846.278650787
1964-11-13,13669618.078795977
1964-11-16,13743350.366694013
1964-11-17,13794293.057618931
1964-11-18,13825425.737257047
1964-11-19,13830408.292744456
1964-11-20,13847238.859986292
1964-11-23,13754802.315694122
1964-11-24,13709521.362920457
1964-11-25,13653137.017333675
1964-11-27,13611012.781950938
1964-11-30,13486443.065275853
1964-12-01,13349129.396679854
1964-12-02,13398779.698431851
1964-12-03,13472299.689300368
1964-12-04,13500128.932745323
1964-12-07,13511660.323927222
1964-12-08,13470943.389239382
1964-12-09,13386100.685417466
1964-12-10,13396136.524079928
1964-12-11,13430289.230853742
1964-12-14,13390038.124961058
