data,kapital,chast1,chast2,protsent,izderzhki,nominal_chast2,nominal_chast1,zalog,rynkov_v_pozicii
1997-09-09,9999495.86,4999885.25,4999610.61,0.0,504.14,14598343.8,4950187.5,954272.68,22
1997-09-10,9982960.55,4996599.41,4986361.15,1394.37,0.0,14584397.17,4946204.4,954272.68,22
1997-09-11,9968830.29,4990119.9,4978710.39,1380.98,0.0,14576056.63,4939033.8,954272.68,22
1997-09-12,9997990.47,5017904.22,4980086.25,1384.56,0.0,14576741.0,4966125.0,954272.68,22
1997-09-15,10024424.49,5021578.72,5002845.76,4140.83,0.0,14565933.45,4967721.3,954272.68,22
1997-09-16,10110147.95,5071679.91,5038468.04,1392.28,0.0,14600860.89,5017125.0,954272.68,22
1997-09-17,10131242.33,5076361.88,5054880.45,1392.95,0.0,14616579.1,5021108.1,954272.68,22
1997-09-18,10138847.78,5074675.75,5064172.03,1398.67,0.0,14625172.83,5018721.3,954272.68,22
1997-09-19,10146262.78,5077763.29,5068499.5,1399.72,0.0,14633647.77,5021108.1,954272.68,22
1997-09-22,10181023.44,5090212.45,5090810.99,4168.42,0.0,14653876.96,5031471.3,954272.68,22
1997-09-23,10160501.41,5080543.65,5079957.76,1388.58,0.0,14642329.4,5021108.1,954272.68,22
1997-09-24,10179531.42,5093983.76,5085547.67,1380.13,0.0,14647229.28,5033858.1,954272.68,22
1997-09-25,10156109.4,5070760.62,5085348.78,1360.1,0.0,14642225.9,5009954.4,954272.68,22
1997-09-26,10183161.75,5084186.72,5098975.03,1354.15,0.0,14655954.12,5022704.4,954272.68,22
1997-09-29,10192185.22,5083853.87,5108331.35,4124.18,0.0,14663565.84,5020312.5,954272.68,22
1997-09-30,10182925.53,5091539.39,5091386.14,1378.78,153.25,18921249.41,5013937.5,1297235.22,24
1997-10-01,10231293.6,5115344.85,5115948.74,1394.5,0.0,18945114.77,5037045.6,1297235.22,24
1997-10-02,10248270.47,5123226.6,5125043.87,1412.49,0.0,18953503.62,5044221.3,1297235.22,24
1997-10-03,10275496.57,5125520.87,5149975.7,1406.29,0.0,18977731.83,5045812.5,1297235.22,24
1997-10-06,10292819.32,5141960.04,5150859.28,4195.83,0.0,18977562.5,5060158.8,1297235.22,24
1997-10-07,10291335.32,5149826.34,5141508.99,1392.39,0.0,18967515.58,5067329.4,1297235.22,24
1997-10-08,10221163.43,5110685.33,5110478.1,1409.34,0.0,18935780.43,5027483.1,1297235.22,24
1997-10-09,10167819.19,5106610.72,5061208.47,1408.25,0.0,18885806.85,5022704.4,1297235.22,24
1997-10-10,10140527.56,5088990.52,5051537.04,1412.2,0.0,18875432.31,5004375.0,1297235.22,24
1997-10-13,10149198.14,5091110.93,5058087.21,4225.22,0.0,18879877.67,5004375.0,1297235.22,24
1997-10-14,10165113.24,5113334.98,5051778.26,1409.61,0.0,18872866.21,5025891.9,1297235.22,24
1997-10-15,10158485.13,5105271.11,5053214.02,1397.7,0.0,18873607.34,5017125.0,1297235.22,24
1997-10-16,10167741.42,5105970.25,5061771.17,1391.15,0.0,18881472.66,5017125.0,1297235.22,24
1997-10-17,10131938.53,5086750.35,5045188.18,1395.24,0.0,18864843.62,4997204.4,1297235.22,24
1997-10-20,10125309.09,5092818.97,5032490.12,4154.09,0.0,18850077.2,5001187.5,1297235.22,24
1997-10-21,10121109.26,5093513.57,5027595.69,1380.98,0.0,18844496.05,5001187.5,1297235.22,24
1997-10-22,10119242.23,5098996.27,5020245.97,1388.84,0.0,18836456.6,5005971.3,1297235.22,24
1997-10-23,10119443.32,5126798.54,4992644.77,1411.07,0.0,18808155.36,5033062.5,1297235.22,24
