data,kapital,chast1,chast2,protsent,izderzhki,nominal_chast2,nominal_chast1,zalog,rynkov_v_pozicii
1997-09-09,9999495.86,4999885.25,4999610.61,0.0,504.14,14598343.8,4950187.5,954272.68,22
1997-09-10,9982960.55,4996599.41,4986361.15,1394.37,0.0,14584397.17,4946204.4,954272.68,22
1997-09-11,9968830.29,4990119.9,4978710.39,1380.98,0.0,14576056.63,4939033.8,954272.68,22
1997-09-12,9997990.47,5017904.22,4980086.25,1384.56,0.0,14576741.0,4966125.0,954272.68,22
1997-09-15,10024211.03,5021578.72,5002632.3,4140.83,213.46,14565933.45,4967721.3,954272.68,22
1997-09-16,10109934.46,5071679.91,5038254.55,1392.25,0.0,14600860.89,5017125.0,954272.68,22
1997-09-17,10131028.81,5076361.88,5054666.93,1392.92,0.0,14616579.1,5021108.1,954272.68,22
1997-09-18,10138634.23,5074675.75,5063958.48,1398.64,0.0,14625172.83,5018721.3,954272.68,22
1997-09-19,10146012.25,5077763.29,5068248.96,1399.69,36.96,14633647.77,5021108.1,954272.68,22
1997-09-22,10180772.79,5090212.45,5090560.34,4168.32,0.0,14653876.96,5031471.3,954272.68,22
1997-09-23,10160250.73,5080543.65,5079707.08,1388.54,0.0,14642329.4,5021108.1,954272.68,22
1997-09-24,10179280.71,5093983.76,5085296.96,1380.1,0.0,14647229.28,5033858.1,954272.68,22
1997-09-25,10155809.16,5070760.62,5085048.54,1360.07,49.5,14642225.9,5009954.4,954272.68,22
1997-09-26,10182852.47,5084186.72,5098665.75,1354.11,9.0,14655954.12,5022704.4,954272.68,22
1997-09-29,10191856.21,5083853.87,5108002.34,4124.06,19.6,14663565.84,5020312.5,954272.68,22
1997-09-30,10182448.22,5091300.73,5091147.48,1378.73,301.51,18921249.41,5013937.5,1297235.22,24
1997-10-01,10230816.22,5115106.16,5115710.06,1394.43,0.0,18945114.77,5037045.6,1297235.22,24
1997-10-02,10247793.03,5122987.88,5124805.15,1412.42,0.0,18953503.62,5044221.3,1297235.22,24
1997-10-03,10275019.06,5125282.12,5149736.94,1406.22,0.0,18977731.83,5045812.5,1297235.22,24
1997-10-06,10292274.12,5141721.19,5150552.93,4195.63,67.5,18977562.5,5060158.8,1297235.22,24
1997-10-07,10290790.05,5149587.45,5141202.59,1392.32,0.0,18967515.58,5067329.4,1297235.22,24
1997-10-08,10220618.07,5110446.41,5110171.66,1409.27,0.0,18935780.43,5027483.1,1297235.22,24
1997-10-09,10167273.76,5106371.77,5060901.99,1408.17,0.0,18885806.85,5022704.4,1297235.22,24
1997-10-10,10139982.06,5088751.53,5051230.52,1412.12,0.0,18875432.31,5004375.0,1297235.22,24
1997-10-13,10148652.41,5090871.85,5057780.56,4224.99,0.0,18879877.67,5004375.0,1297235.22,24
1997-10-14,10164567.43,5113095.86,5051471.57,1409.54,0.0,18872866.21,5025891.9,1297235.22,24
1997-10-15,10157939.25,5105031.96,5052907.28,1397.63,0.0,18873607.34,5017125.0,1297235.22,24
1997-10-16,10167195.47,5105731.07,5061464.4,1391.07,0.0,18881472.66,5017125.0,1297235.22,24
1997-10-17,10131373.04,5086511.14,5044861.9,1395.17,19.46,18864843.62,4997204.4,1297235.22,24
1997-10-20,10124743.37,5092579.66,5032163.71,4153.86,0.0,18850077.2,5001187.5,1297235.22,24
1997-10-21,10120543.46,5093274.23,5027269.23,1380.9,0.0,18844496.05,5001187.5,1297235.22,24
1997-10-22,10118676.35,5098756.89,5019919.47,1388.76,0.0,18836456.6,5005971.3,1297235.22,24
1997-10-23,10118877.36,5126559.13,4992318.23,1410.99,0.0,18808155.36,5033062.5,1297235.22,24
