,dolya_vremeni,sredne_kontraktov,maks_kontraktov,dnej_dostupen
ES,0.724,233.1,371,7523
YAP,0.708,11.9,22,7523
LFT,0.679,13.9,32,7523
GC,0.671,97.9,179,7523
FCE,0.663,15.9,34,7523
FDAX,0.66,17.2,25,7181
GF,0.649,17.1,27,7523
LE,0.643,25.1,46,7523
KOS,0.625,18.6,34,6675
FESX,0.598,25.2,49,7122
SNK,0.595,575.2,1183,7523
PA,0.594,6.6,19,7523
6S,0.579,14.2,38,7523
HG,0.578,10.3,21,7523
SSG,0.577,43.4,105,7265
PL,0.576,11.8,28,7523
HSI,0.574,29.1,70,7523
HO,0.572,5.7,13,7523
GAS,0.572,8.4,17,7523
BRN,0.566,7.3,20,7523
CL,0.559,6.7,20,7523
LEU,0.552,238.6,687,7181
LCC,0.551,29.3,72,7523
SI,0.55,36.0,82,7523
CGB,0.544,29.0,92,7523
CC,0.541,22.6,51,7523
FGBS,0.533,156.1,541,7169
6B,0.528,22.4,76,7523
ZF,0.527,37.8,117,7523
ZT,0.526,52.0,141,7523
ZN,0.522,189.1,599,7523
6E,0.519,13.5,45,7181
FGBM,0.518,40.8,114,7161
FGBL,0.517,18.4,58,7181
ZB,0.514,10.9,39,7523
ZL,0.514,30.7,73,7523
WBS,0.502,7.8,20,5336
YXT,0.501,29.7,89,7523
CT,0.499,17.8,77,7523
DX,0.499,25.3,78,7523
YYT,0.497,98.0,287,7523
6N,0.495,25.0,87,5435
NG,0.494,7.3,23,7523
LRC,0.492,35.2,97,7523
SCN,0.49,97.2,178,4155
SR3,0.488,616.7,897,2149
6M,0.487,57.2,203,7523
RB,0.486,6.1,16,5425
6A,0.482,20.0,82,7523
ZQ,0.481,163.4,538,7523
SB,0.48,33.0,68,7523
6C,0.476,27.9,123,7523
KC,0.475,8.9,19,7523
ZM,0.474,22.2,79,7523
LLG,0.472,13.8,46,7523
6J,0.472,12.7,45,7523
HE,0.468,21.4,69,7523
ZW,0.466,22.2,72,7523
ZC,0.454,34.7,109,7523
ZS,0.451,16.3,49,7523
SO3,0.442,483.3,665,2130
KE,0.431,21.6,69,7523
UB,0.404,9.5,30,4314
TN,0.315,31.9,61,2753
