seed,CAGR,prosadka,kolebaniya
0,0.0741,-0.2335,0.0769
1,0.0722,-0.2184,0.0795
2,0.0654,-0.2915,0.0824
3,0.0665,-0.2465,0.082
4,0.0493,-0.2557,0.0845
5,0.0695,-0.2667,0.0819
6,0.0607,-0.2701,0.0778
7,0.0591,-0.275,0.0843
8,0.0552,-0.2177,0.0788
9,0.0652,-0.2419,0.0811
10,0.0622,-0.2093,0.0744
11,0.0622,-0.2525,0.0814
12,0.0704,-0.246,0.0812
13,0.0721,-0.3015,0.0803
14,0.0655,-0.2221,0.0749
15,0.0599,-0.2101,0.0828
16,0.0598,-0.3265,0.0797
17,0.0547,-0.3345,0.0864
18,0.0673,-0.2624,0.0778
19,0.075,-0.2374,0.0758
